"K_L.ID","K_L.logFC","K_L.logCPM","K_L.LR","K_L.PValue","K_L.FDR"
"ENSG00000078618",0.515346481873856,7.44102369070762,48.7415973161194,2.92006928787601e-12,1.71423540287997e-11
"ENSG00000117143",0.756188250943416,6.16462759111057,47.6072090363854,5.20766267265189e-12,3.01623315755707e-11
"ENSG00000125347",1.1647121025612,4.77661712401838,45.3645613148127,1.63567387720447e-11,9.22656270336807e-11
"ENSG00000198931",0.894068662453727,5.49826404300121,44.7523836776907,2.23594577889503e-11,1.24811170432736e-10
"ENSG00000198146",0.585139196885221,6.69220906439338,43.6659058994451,3.89498541787093e-11,2.14333795076871e-10
"ENSG00000124615",0.711161668488268,6.13758306739762,43.4324907243346,4.38840793544306e-11,2.40720230410035e-10
"ENSG00000099972",0.712119108768163,6.094647735171,42.9690952833947,5.56114447797219e-11,3.02759959597179e-10
"ENSG00000063854",0.619641082340106,6.42390373366695,40.7616768034447,1.7197276600396e-10,9.11970645467829e-10
"ENSG00000175220",0.651350061068402,6.25548604349629,40.1262539570806,2.3806784187042e-10,1.25184609858914e-09
"ENSG00000095585",0.869228741447861,5.40554743936916,39.6303000020004,3.06884794500926e-10,1.60395980207432e-09
"ENSG00000183098",1.27847560727088,4.33627878386924,39.1558924412565,3.9128057796181e-10,2.03512955558768e-09
"ENSG00000174080",0.748666074933678,5.80655432756596,38.8897927238049,4.48419199299912e-10,2.3247920221888e-09
"ENSG00000173209",0.731949028070592,5.86092716692494,38.6009242363072,5.19942963562116e-10,2.67831361669995e-09
"ENSG00000112306",0.431520874906378,7.54981008861511,38.3607953772563,5.88019023401722e-10,3.01586039596459e-09
"ENSG00000164011",1.14661414581429,4.60390167955651,37.9855318791382,7.12711916829468e-10,3.62973075396167e-09
"ENSG00000108788",0.643324139031279,6.22317278000901,37.6914920301249,8.2865192039579e-10,4.19738326344624e-09
"ENSG00000110074",0.956674246066265,4.92148491217212,34.0772416346316,5.29671500725702e-09,2.5339953310617e-08
"ENSG00000059378",1.05311078505876,4.64210368581591,33.4758496277511,7.21543848941531e-09,3.42208375425876e-08
"ENSG00000128185",1.47459437850926,3.72045335183561,33.1745491797854,8.42460112559912e-09,3.97627028992076e-08
"ENSG00000126088",0.661916201043919,5.93107159938607,33.0967571203814,8.76848436713059e-09,4.13250656782831e-08
"ENSG00000206527",0.476809997356548,6.86752560242623,32.5564855752256,1.15778129717093e-08,5.41340984893437e-08
"ENSG00000136942",0.539935977491021,6.51812335884349,32.4460757646127,1.22546167356282e-08,5.71560204032099e-08
"ENSG00000165516",0.511375467679496,6.64914802927784,32.2893911689357,1.32836619102554e-08,6.18273088496778e-08
"ENSG00000198887",0.723461143369187,5.6589384110587,32.2048322707994,1.38745252937122e-08,6.45373472296976e-08
"ENSG00000167985",0.89038924246115,5.15542141957251,32.1455690789094,1.4304254964632e-08,6.6426325450046e-08
"ENSG00000130023",1.08475535897484,4.48819845982667,32.0602785249744,1.49462215615661e-08,6.93216174303199e-08
"ENSG00000125817",0.592054574867311,6.28145923987355,32.0353234560381,1.5139454500777e-08,7.02033673654587e-08
"ENSG00000099954",1.52201869105729,3.56950457355488,31.4570536546556,2.03900544302716e-08,9.37009244251753e-08
"ENSG00000151092",0.834435329814693,5.23635777182978,31.1876267050343,2.34254448552141e-08,1.07299033562885e-07
"ENSG00000053372",1.08812058420725,4.4330152953089,30.9966259130367,2.58477381713205e-08,1.17890008410667e-07
"ENSG00000013441",0.53618120183959,6.45000996790989,30.9841894641137,2.60138926427038e-08,1.18623772411681e-07
"ENSG00000124370",1.03707907121271,4.56998981311451,30.6116568565431,3.1519433413502e-08,1.42888945267015e-07
"ENSG00000057757",0.720443823388173,5.56777219579351,30.4607202825578,3.40695391102802e-08,1.5392204391125e-07
"ENSG00000108176",1.29914212402239,3.92082317226161,30.176390715923,3.94482491995937e-08,1.77190158677624e-07
"ENSG00000102103",0.982086620084967,4.65280467678864,29.6314545983072,5.22501392778538e-08,2.32556032527e-07
"ENSG00000136463",0.65042760604658,5.81090988054212,29.3812924339239,5.94487619270253e-08,2.63189499161181e-07
"ENSG00000153443",0.976536258991422,4.62571212885119,28.7344333900262,8.30145079304859e-08,3.63865968301818e-07
"ENSG00000130164",0.369037313790467,7.46108797072527,28.1564380928589,1.11894841015123e-07,4.84971087768379e-07
"ENSG00000196363",0.740230106805463,5.35977892800897,27.7939297290422,1.34948863490808e-07,5.81194932958307e-07
"ENSG00000213561",1.78057675114171,2.98992260242554,26.9602891191006,2.07678657004016e-07,8.82094994526973e-07
"ENSG00000138433",0.570380303596039,6.08008905052031,25.5560487371553,4.29716826009291e-07,1.77262131638829e-06
"ENSG00000100075",0.506722607982345,6.33218447954383,25.4800243345816,4.46986993214329e-07,1.84116071014474e-06
"ENSG00000198937",1.37421236386362,3.54649208280127,25.4382803406067,4.5676400068118e-07,1.88039948294339e-06
"ENSG00000171135",0.719794420909015,5.3630462141657,25.2778562901771,4.96374747805265e-07,2.0367575402555e-06
"ENSG00000181991",0.855487811559844,4.83865135916837,25.1717197467575,5.24456445657826e-07,2.14533020422781e-06
"ENSG00000115275",0.55492312755062,6.04152751761767,25.0320087751032,5.63864298981855e-07,2.30150781925625e-06
"ENSG00000104522",0.848421799084343,4.81490011473066,24.7170143842244,6.63954387589612e-07,2.69536717994411e-06
